model;vendor;price;quantity
BlackBerry Key2; BlackBerry Mobile;247;2
Moto E3; Motorola Mobility;341;1
HTC Amaze 4G; HTC;227;5
Pixel 4a; Google;289;1
HTC Sensation XE; HTC;481;7
HTC One S C2; HTC;462;2
Moto G4; Motorola Mobility;339;6
Samsung Galaxy A9 (2016); Samsung Electronics;300;8
Oppo Find; Oppo;334;5
Samsung Galaxy A3/Duos; Samsung Electronics;407;1
ZTE Blade III Pro; ZTE;234;9
ZTE Director; ZTE;432;6
Samsung Galaxy A5; Samsung Electronics;428;8
LG Q61; LG Electronics;326;7
OnePlus 8; OnePlus;283;5
HTC One V; HTC;240;6
BlackBerry Motion; BlackBerry Mobile;383;9
HTC Desire VC; HTC;360;6
HTC Sensation XE; HTC;481;2
HTC Amaze 4G; HTC;227;5
Xiaomi Mi MIX 3 5G; Xiaomi;396;4
Pixel 4a; Google;289;2
Xiaomi Mi 10/Pro; Xiaomi;366;9
Pixel 2/XL; Google;347;5
HTC Desire V; HTC;359;8
OnePlus 9 Pro; OnePlus;483;7
HTC Rezound; HTC;209;7
ZTE Blade III Pro; ZTE;234;1
OnePlus 8 Pro; OnePlus;390;1
Samsung Galaxy A5; Samsung Electronics;428;3
Samsung Galaxy A7/Duos; Samsung Electronics;426;2
HTC Sensation XE; HTC;481;8
ZTE Director; ZTE;432;4
ZTE Blade G2; ZTE;243;5
Pixel 2/XL; Google;347;3
Samsung Galaxy A8/Duos; Samsung Electronics;402;5
Moto X (2nd generation); Motorola Mobility;286;1
Moto X (2nd generation); Motorola Mobility;286;9
HTC One S C2; HTC;462;9
OnePlus 8T; OnePlus;328;8
OnePlus Nord N10 5G; OnePlus;414;4
HTC Desire C; HTC;199;1
ZTE Blade III Pro; ZTE;234;1
ZTE Director; ZTE;432;1
BlackBerry KeyOne; BlackBerry Mobile;346;1
Xiaomi Mi 9 Lite; Xiaomi;417;5
HTC One S; HTC;317;9
Samsung Galaxy A7/Duos; Samsung Electronics;426;8
OnePlus 8 Pro; OnePlus;390;4
HTC Evo Design 4G; HTC;491;6
Xiaomi Mi 9 Lite; Xiaomi;417;9
OnePlus 9; OnePlus;386;8
Xiaomi Mi 9T; Xiaomi;388;3
Samsung Galaxy A3/Duos; Samsung Electronics;407;5
Samsung Galaxy A7/Duos; Samsung Electronics;426;7
Moto E (1st generation); Motorola Mobility;353;8
Samsung Galaxy S7/Edge; Samsung Electronics;373;3
HTC Rezound; HTC;209;5
Pixel 4a; Google;289;8
ZTE Blade Vec 3G/4G; ZTE;447;1
Samsung Galaxy A9 (2016); Samsung Electronics;300;4
ZTE Blade V; ZTE;360;7
LG Velvet; LG Electronics;496;3
HTC One V; HTC;240;7
Xiaomi Black Shark 2 Pro; Xiaomi;346;2
LG K42/K71; LG Electronics;416;3
Xiaomi Mi 9T; Xiaomi;388;9
Samsung Galaxy Note Edge; Samsung Electronics;264;2
HTC Desire VC; HTC;360;2
LG Velvet; LG Electronics;496;3
Xiaomi Mi 9T Pro; Xiaomi;430;6
Moto X Style; Motorola Mobility;232;4
BlackBerry Key2; BlackBerry Mobile;247;5
BlackBerry Aurora; BlackBerry Mobile;429;6
ZTE Blade G V880G; ZTE;274;2
Moto X Style; Motorola Mobility;232;6
BlackBerry KeyOne; BlackBerry Mobile;346;1
OnePlus 9 Pro; OnePlus;483;9
Pixel 3a/XL; Google;365;2
OnePlus Nord N100; OnePlus;397;1
HTC One S; HTC;317;6
OnePlus 9 Pro; OnePlus;483;3
LG Velvet; LG Electronics;496;7
Moto E3; Motorola Mobility;341;6
ZTE Blade III Pro; ZTE;234;5
HTC Raider 4G; HTC;286;6
HTC Evo 4G LTE; HTC;477;8
Xiaomi Mi 9T Pro; Xiaomi;430;7
LG K42/K71; LG Electronics;416;7
Xiaomi Mi A3; Xiaomi;253;1
OnePlus 8; OnePlus;283;6
BlackBerry Motion; BlackBerry Mobile;383;2
Oppo Find; Oppo;334;6
Xiaomi Mi A3; Xiaomi;253;4
Moto G4; Motorola Mobility;339;9
Samsung Galaxy A3/Duos; Samsung Electronics;407;2
OnePlus 7T; OnePlus;341;1
LG Stylo 6; LG Electronics;397;7
Samsung Galaxy Xcover 3; Samsung Electronics;473;6
HTC One X/XL; HTC;352;7
Pixel 3a/XL; Google;365;1
Pixel 3a/XL; Google;365;4
Samsung Galaxy A8/Duos; Samsung Electronics;402;2
ZTE Blade S6; ZTE;219;7
LG K42/K71; LG Electronics;416;6
Moto G4; Motorola Mobility;339;3
LG K42/K71; LG Electronics;416;3
ZTE Blade L2; ZTE;244;3
LG Q92 5G; LG Electronics;216;7
Samsung Galaxy A7/Duos; Samsung Electronics;426;1
Pixel 3a/XL; Google;365;1
BlackBerry Key2; BlackBerry Mobile;247;9
OnePlus 7T Pro; OnePlus;329;7
Moto E3; Motorola Mobility;341;5
HTC Rhyme; HTC;201;9
Samsung Galaxy S6/Edge; Samsung Electronics;274;5
Samsung Galaxy S6/Edge; Samsung Electronics;274;6
Pixel 4/XL; Google;410;1
ZTE Blade C V807; ZTE;229;9
Samsung Galaxy Note Edge; Samsung Electronics;264;6
ZTE Blade L2; ZTE;244;8
HTC Evo 4G LTE; HTC;477;7
BlackBerry Aurora; BlackBerry Mobile;429;4
HTC Desire V; HTC;359;6
HTC Explorer; HTC;396;2
Xiaomi Black Shark 2 Pro; Xiaomi;346;6
HTC Explorer; HTC;396;8
Xiaomi Mi A3; Xiaomi;253;6
Pixel 4/XL; Google;410;3
Xiaomi Mi 9/SE; Xiaomi;471;5
OnePlus Nord; OnePlus;425;6
BlackBerry Motion; BlackBerry Mobile;383;1
Moto E (1st generation); Motorola Mobility;353;3
OnePlus Nord; OnePlus;425;8
Moto G (3rd generation); Motorola Mobility;206;6
LG K22; LG Electronics;315;7
HTC One X/XL; HTC;352;1
OnePlus 7T; OnePlus;341;2
ZTE Blade G2; ZTE;243;4
Moto G (3rd generation); Motorola Mobility;206;4
ZTE Blade G V880G; ZTE;274;9
Samsung Galaxy A7/Duos; Samsung Electronics;426;8
Moto E (1st generation); Motorola Mobility;353;3
HTC Explorer; HTC;396;9
Xiaomi Mi 9/SE; Xiaomi;471;2
Xiaomi Mi 9T; Xiaomi;388;4
Xiaomi Mi MIX 3 5G; Xiaomi;396;2
ZTE Blade G/Lux; ZTE;400;5
Moto E (2nd generation); Motorola Mobility;358;8
Motorola Droid Turbo; Motorola Mobility;444;4
HTC Explorer; HTC;396;2
OnePlus 8; OnePlus;283;1
OnePlus Nord N100; OnePlus;397;1
Xiaomi Mi 9/SE; Xiaomi;471;6
HTC One X/XL; HTC;352;7
ZTE Blade Vec 3G/4G; ZTE;447;6
Xiaomi Mi A3; Xiaomi;253;9
HTC Amaze 4G; HTC;227;7
HTC One S C2; HTC;462;6
HTC Salsa; HTC;257;6
Pixel 3a/XL; Google;365;1
Oppo Find; Oppo;334;3
Xiaomi Mi 9 Lite; Xiaomi;417;1
BlackBerry Key2; BlackBerry Mobile;247;8
Motorola Droid Turbo; Motorola Mobility;444;3
ZTE Blade V; ZTE;360;7
LG Q92 5G; LG Electronics;216;8
ZTE Blade V; ZTE;360;8
OnePlus 8; OnePlus;283;1
ZTE Blade C V807; ZTE;229;4
Xiaomi Mi A3; Xiaomi;253;7
ZTE Director; ZTE;432;9
ZTE Blade S6; ZTE;219;6
Xiaomi Mi 10/Pro; Xiaomi;366;1
HTC One S C2; HTC;462;5
HTC Desire C; HTC;199;7
BlackBerry Motion; BlackBerry Mobile;383;3
Moto G (3rd generation); Motorola Mobility;206;2
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;1
ZTE Blade G2; ZTE;243;3
HTC Desire V; HTC;359;3
HTC Evo Design 4G; HTC;491;6
HTC Explorer; HTC;396;9
Samsung Galaxy A3/Duos; Samsung Electronics;407;6
Samsung Galaxy S6 Edge+; Samsung Electronics;434;4
HTC Desire VC; HTC;360;3
HTC Sensation XL; HTC;309;7
Samsung Galaxy Xcover 3; Samsung Electronics;473;3
Xiaomi Black Shark 2 Pro; Xiaomi;346;8
Samsung Galaxy A9 (2016); Samsung Electronics;300;7
Xiaomi Mi Note 10/Pro; Xiaomi;234;8
Samsung Galaxy Note Edge; Samsung Electronics;264;1
ZTE Blade L2; ZTE;244;3
OnePlus 8 Pro; OnePlus;390;8
HTC One S C2; HTC;462;8
HTC Desire C; HTC;199;2
Samsung Galaxy A8/Duos; Samsung Electronics;402;8
OnePlus 8 Pro; OnePlus;390;7
HTC One S C2; HTC;462;1
LG Q61; LG Electronics;326;4
Samsung Galaxy A9 (2016); Samsung Electronics;300;5
HTC One V; HTC;240;1
LG Q92 5G; LG Electronics;216;4
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
Samsung Galaxy S6/Edge; Samsung Electronics;274;9
Xiaomi Mi MIX 3 5G; Xiaomi;396;9
Xiaomi Mi A3; Xiaomi;253;5
LG K31; LG Electronics;270;7
LG K42/K71; LG Electronics;416;4
Pixel 3a/XL; Google;365;3
HTC Desire V; HTC;359;4
ZTE Blade G2; ZTE;243;5
Moto E (1st generation); Motorola Mobility;353;2
BlackBerry Motion; BlackBerry Mobile;383;4
LG K22; LG Electronics;315;4
Oppo Find; Oppo;334;9
Xiaomi Mi Note 10/Pro; Xiaomi;234;4
Samsung Galaxy A9 (2016); Samsung Electronics;300;9
Xiaomi Mi 10/Pro; Xiaomi;366;4
Samsung Galaxy S7/Edge; Samsung Electronics;373;2
ZTE Blade V; ZTE;360;6
Motorola Droid Turbo; Motorola Mobility;444;2
Xiaomi Mi 9T Pro; Xiaomi;430;2
OnePlus Nord N10 5G; OnePlus;414;8
ZTE Blade L2; ZTE;244;3
HTC Raider 4G; HTC;286;2
Xiaomi Mi Note 10/Pro; Xiaomi;234;9
ZTE Director; ZTE;432;6
Pixel 4a (5G); Google;469;3
Xiaomi Mi MIX 3 5G; Xiaomi;396;9
Moto E3; Motorola Mobility;341;7
Moto E (2nd generation); Motorola Mobility;358;1
Pixel 4/XL; Google;410;7
ZTE Director; ZTE;432;1
HTC Evo 4G LTE; HTC;477;5
Samsung Galaxy S7/Edge; Samsung Electronics;373;6
Moto E (2nd generation); Motorola Mobility;358;2
Moto G (3rd generation); Motorola Mobility;206;4
Oppo Find; Oppo;334;7
Moto G (3rd generation); Motorola Mobility;206;2
HTC One V; HTC;240;2
Moto G (2nd generation); Motorola Mobility;206;9
HTC Amaze 4G; HTC;227;9
BlackBerry Key2; BlackBerry Mobile;247;9
OnePlus 9; OnePlus;386;6
Xiaomi Mi 9/SE; Xiaomi;471;5
BlackBerry Aurora; BlackBerry Mobile;429;2
Xiaomi Black Shark 2; Xiaomi;258;8
HTC Droid Incredible 4G LTE; HTC;290;3
BlackBerry Aurora; BlackBerry Mobile;429;1
Pixel 5; Google;408;1
Pixel 4a; Google;289;2
LG Velvet; LG Electronics;496;6
HTC One V; HTC;240;9
HTC One V; HTC;240;2
Xiaomi Mi 9T; Xiaomi;388;6
Xiaomi Mi 9/SE; Xiaomi;471;9
LG Q61; LG Electronics;326;3
Xiaomi Mi 9/SE; Xiaomi;471;5
OnePlus Nord; OnePlus;425;4
Xiaomi Mi 9T; Xiaomi;388;8
Samsung Galaxy Note Edge; Samsung Electronics;264;7
HTC Sensation XE; HTC;481;9
ZTE Blade G2; ZTE;243;6
HTC Desire V; HTC;359;6
LG K42/K71; LG Electronics;416;2
Samsung Galaxy A5 Duos; Samsung Electronics;200;2
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;2
Motorola Droid Turbo; Motorola Mobility;444;7
Samsung Galaxy Note 5; Samsung Electronics;254;7
Xiaomi Mi 9/SE; Xiaomi;471;3
ZTE Blade L2; ZTE;244;6
Pixel 4a; Google;289;7
ZTE Blade G V880G; ZTE;274;7
Xiaomi Mi A3; Xiaomi;253;2
ZTE Blade G/Lux; ZTE;400;5
Xiaomi Mi 9T Pro; Xiaomi;430;2
BlackBerry KeyOne; BlackBerry Mobile;346;4
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;9
Xiaomi Mi 9/SE; Xiaomi;471;1
HTC Raider 4G; HTC;286;5
ZTE Blade Q/Maxi/Mini; ZTE;374;3
OnePlus 9 Pro; OnePlus;483;4
Xiaomi Black Shark 2 Pro; Xiaomi;346;1
ZTE Blade Vec 3G/4G; ZTE;447;9
LG K22; LG Electronics;315;5
OnePlus 7T; OnePlus;341;9
HTC Explorer; HTC;396;5
LG Q61; LG Electronics;326;3
ZTE Blade S6; ZTE;219;9
Moto E3; Motorola Mobility;341;8
HTC One X/XL; HTC;352;7
Pixel 5; Google;408;1
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;6
Pixel 4a; Google;289;8
Xiaomi Mi 9T Pro; Xiaomi;430;2
OnePlus Nord; OnePlus;425;8
ZTE Blade G/Lux; ZTE;400;3
Moto X Play; Motorola Mobility;437;9
HTC Evo 3D; HTC;248;7
Xiaomi Mi Note 10/Pro; Xiaomi;234;3
Xiaomi Mi 9T; Xiaomi;388;2
OnePlus 7T Pro; OnePlus;329;1
HTC Evo 4G LTE; HTC;477;9
Moto G4; Motorola Mobility;339;1
HTC Evo Design 4G; HTC;491;9
HTC One X/XL; HTC;352;3
Samsung Galaxy A9 (2016); Samsung Electronics;300;4
LG Q61; LG Electronics;326;8
Samsung Galaxy S6/Edge; Samsung Electronics;274;7
Xiaomi Mi Note 10/Pro; Xiaomi;234;8
ZTE Blade S6; ZTE;219;9
HTC Rhyme; HTC;201;4
OnePlus 7T; OnePlus;341;3
Xiaomi Black Shark 2; Xiaomi;258;5
ZTE Blade S6; ZTE;219;7
Xiaomi Mi 9 Lite; Xiaomi;417;8
Samsung Galaxy A5 Duos; Samsung Electronics;200;3
OnePlus 7T; OnePlus;341;4
HTC Evo Design 4G; HTC;491;9
ZTE Blade G2; ZTE;243;6
HTC Desire VC; HTC;360;4
Samsung Galaxy S6 Edge+; Samsung Electronics;434;8
HTC Evo 3D; HTC;248;3
ZTE Blade G/Lux; ZTE;400;4
HTC Rhyme; HTC;201;9
Xiaomi Mi MIX 3 5G; Xiaomi;396;3
HTC Droid Incredible 4G LTE; HTC;290;9
Samsung Galaxy A8/Duos; Samsung Electronics;402;4
Samsung Galaxy A7/Duos; Samsung Electronics;426;6
BlackBerry Aurora; BlackBerry Mobile;429;7
OnePlus Nord N100; OnePlus;397;2
HTC Sensation XE; HTC;481;9
HTC One V; HTC;240;5
HTC Desire VC; HTC;360;8
Samsung Galaxy A5; Samsung Electronics;428;4
ZTE Director; ZTE;432;2
Moto E3; Motorola Mobility;341;5
Samsung Galaxy Note 5; Samsung Electronics;254;2
Pixel 3a/XL; Google;365;9
Moto G (3rd generation); Motorola Mobility;206;3
Moto G (2nd generation); Motorola Mobility;206;8
HTC Rezound; HTC;209;5
Xiaomi Black Shark 2; Xiaomi;258;2
Moto E3; Motorola Mobility;341;5
Samsung Galaxy A7/Duos; Samsung Electronics;426;1
Samsung Galaxy A5; Samsung Electronics;428;1
HTC Sensation XE; HTC;481;8
HTC Evo 3D; HTC;248;1
OnePlus 8T; OnePlus;328;3
HTC Explorer; HTC;396;6
BlackBerry KeyOne; BlackBerry Mobile;346;7
Samsung Galaxy Note Edge; Samsung Electronics;264;4
Samsung Galaxy Note Edge; Samsung Electronics;264;1
LG Stylo 6; LG Electronics;397;7
Motorola Droid Turbo; Motorola Mobility;444;4
Samsung Galaxy Note Edge; Samsung Electronics;264;7
ZTE Blade III Pro; ZTE;234;6
LG K42/K71; LG Electronics;416;5
HTC One S; HTC;317;9
HTC Salsa; HTC;257;5
BlackBerry Motion; BlackBerry Mobile;383;9
HTC Droid Incredible 4G LTE; HTC;290;7
LG Stylo 6; LG Electronics;397;5
Samsung Galaxy A5; Samsung Electronics;428;9
BlackBerry Key2; BlackBerry Mobile;247;8
LG Stylo 6; LG Electronics;397;6
HTC Salsa; HTC;257;3
ZTE Blade V; ZTE;360;5
BlackBerry Aurora; BlackBerry Mobile;429;1
Moto G (2nd generation); Motorola Mobility;206;4
OnePlus Nord N10 5G; OnePlus;414;5
HTC Desire C; HTC;199;6
ZTE Blade Vec 3G/4G; ZTE;447;9
LG K42/K71; LG Electronics;416;2
OnePlus 8 Pro; OnePlus;390;9
OnePlus Nord N100; OnePlus;397;9
HTC Evo 3D; HTC;248;2
LG Q92 5G; LG Electronics;216;8
LG K22; LG Electronics;315;5
Xiaomi Mi A3; Xiaomi;253;8
HTC One V; HTC;240;1
ZTE Blade C V807; ZTE;229;1
Moto X Play; Motorola Mobility;437;4
Motorola Droid Turbo; Motorola Mobility;444;8
HTC Evo 3D; HTC;248;1
ZTE Blade Q/Maxi/Mini; ZTE;374;4
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;8
BlackBerry Key2; BlackBerry Mobile;247;1
Samsung Galaxy A8/Duos; Samsung Electronics;402;4
Samsung Galaxy S7/Edge; Samsung Electronics;373;3
Pixel 2/XL; Google;347;6
HTC One X/XL; HTC;352;2
Samsung Galaxy S6 Edge+; Samsung Electronics;434;9
HTC Evo 4G LTE; HTC;477;5
HTC Salsa; HTC;257;8
HTC One V; HTC;240;1
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;3
ZTE Blade III Pro; ZTE;234;7
HTC Droid Incredible 4G LTE; HTC;290;2
LG Q92 5G; LG Electronics;216;2
LG K22; LG Electronics;315;3
Pixel 3/XL; Google;272;5
Xiaomi Mi 9T; Xiaomi;388;6
Pixel 5; Google;408;1
Moto X Play; Motorola Mobility;437;9
Moto X Play; Motorola Mobility;437;5
Motorola Droid Turbo; Motorola Mobility;444;3
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;6
HTC Desire VC; HTC;360;2
Samsung Galaxy S7/Edge; Samsung Electronics;373;2
OnePlus Nord N100; OnePlus;397;3
Xiaomi Mi Note 10/Pro; Xiaomi;234;4
Samsung Galaxy A7/Duos; Samsung Electronics;426;3
ZTE Blade G2; ZTE;243;5
LG K31; LG Electronics;270;1
HTC Raider 4G; HTC;286;2
Samsung Galaxy S7/Edge; Samsung Electronics;373;1
Samsung Galaxy A9 (2016); Samsung Electronics;300;7
OnePlus 9 Pro; OnePlus;483;4
LG K22; LG Electronics;315;1
LG K22; LG Electronics;315;1
Pixel 4a; Google;289;1
Pixel 5; Google;408;5
ZTE Blade V; ZTE;360;1
Pixel 4a (5G); Google;469;5
LG Q61; LG Electronics;326;5
HTC One X/XL; HTC;352;9
HTC Salsa; HTC;257;2
HTC Amaze 4G; HTC;227;6
HTC Rezound; HTC;209;3
Xiaomi Mi 9T; Xiaomi;388;1
Moto X Style; Motorola Mobility;232;3
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
Moto E (2nd generation); Motorola Mobility;358;5
Samsung Galaxy S6/Edge; Samsung Electronics;274;6
ZTE Blade L2; ZTE;244;8
Samsung Galaxy Note 5; Samsung Electronics;254;5
Xiaomi Mi 9/SE; Xiaomi;471;8
Samsung Galaxy S6/Edge; Samsung Electronics;274;4
Samsung Galaxy Note 5; Samsung Electronics;254;6
Samsung Galaxy S6/Edge; Samsung Electronics;274;8
Xiaomi Mi 9T Pro; Xiaomi;430;8
BlackBerry Key2; BlackBerry Mobile;247;4
Xiaomi Mi A3; Xiaomi;253;4
Xiaomi Mi 10/Pro; Xiaomi;366;6
ZTE Blade G/Lux; ZTE;400;6
Oppo Find; Oppo;334;8
ZTE Blade V; ZTE;360;5
Motorola Droid Turbo; Motorola Mobility;444;8
Xiaomi Mi Note 10/Pro; Xiaomi;234;6
Xiaomi Mi 10/Pro; Xiaomi;366;9
ZTE Blade V; ZTE;360;4
OnePlus 9; OnePlus;386;9
Pixel 4a (5G); Google;469;8
LG K22; LG Electronics;315;4
HTC Rezound; HTC;209;7
Samsung Galaxy S6/Edge; Samsung Electronics;274;9
Xiaomi Mi A3; Xiaomi;253;8
Moto G (3rd generation); Motorola Mobility;206;6
Pixel 3/XL; Google;272;6
OnePlus 8T; OnePlus;328;3
Samsung Galaxy S6 Edge+; Samsung Electronics;434;9
BlackBerry KeyOne; BlackBerry Mobile;346;2
Xiaomi Mi MIX 3 5G; Xiaomi;396;4
Moto X Play; Motorola Mobility;437;9
Moto G4; Motorola Mobility;339;5
HTC Desire V; HTC;359;2
Samsung Galaxy A8/Duos; Samsung Electronics;402;1
HTC One X/XL; HTC;352;3
BlackBerry Key2; BlackBerry Mobile;247;4
Xiaomi Mi 9T; Xiaomi;388;2
ZTE Blade V; ZTE;360;5
Pixel 3a/XL; Google;365;4
ZTE Blade Q/Maxi/Mini; ZTE;374;5
HTC Amaze 4G; HTC;227;6
Samsung Galaxy Note Edge; Samsung Electronics;264;7
LG Q61; LG Electronics;326;6
ZTE Blade G2; ZTE;243;2
Samsung Galaxy A3/Duos; Samsung Electronics;407;1
HTC Evo 3D; HTC;248;1
OnePlus 7T Pro; OnePlus;329;4
ZTE Blade S6; ZTE;219;8
HTC Evo 3D; HTC;248;4
ZTE Blade C V807; ZTE;229;8
Xiaomi Mi MIX 3 5G; Xiaomi;396;6
HTC Amaze 4G; HTC;227;1
Moto G (2nd generation); Motorola Mobility;206;8
Moto G (2nd generation); Motorola Mobility;206;7
Xiaomi Mi Note 10/Pro; Xiaomi;234;7
ZTE Blade S6; ZTE;219;1
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;7
OnePlus 9 Pro; OnePlus;483;4
LG K22; LG Electronics;315;8
Pixel 3/XL; Google;272;9
ZTE Blade V; ZTE;360;6
Pixel 3a/XL; Google;365;9
Moto G (2nd generation); Motorola Mobility;206;5
Samsung Galaxy A7/Duos; Samsung Electronics;426;5
OnePlus 9; OnePlus;386;8
Samsung Galaxy Note Edge; Samsung Electronics;264;2
HTC One S; HTC;317;8
OnePlus Nord N10 5G; OnePlus;414;1
ZTE Blade V; ZTE;360;2
HTC One S; HTC;317;4
Samsung Galaxy Xcover 3; Samsung Electronics;473;7
OnePlus 7T; OnePlus;341;5
HTC Sensation XE; HTC;481;6
ZTE Blade S6; ZTE;219;8
OnePlus 8; OnePlus;283;4
OnePlus 7T Pro; OnePlus;329;3
Pixel 3a/XL; Google;365;1
ZTE Blade G V880G; ZTE;274;5
ZTE Director; ZTE;432;2
Samsung Galaxy Note Edge; Samsung Electronics;264;9
OnePlus 8; OnePlus;283;6
Moto G (3rd generation); Motorola Mobility;206;3
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;2
ZTE Blade S6; ZTE;219;6
Xiaomi Black Shark 2; Xiaomi;258;9
Xiaomi Mi A3; Xiaomi;253;4
Moto G (2nd generation); Motorola Mobility;206;6
Samsung Galaxy S6/Edge; Samsung Electronics;274;5
Pixel 3a/XL; Google;365;4
BlackBerry Key2; BlackBerry Mobile;247;8
Pixel 4a (5G); Google;469;6
Moto E3; Motorola Mobility;341;8
ZTE Blade Q/Maxi/Mini; ZTE;374;9
BlackBerry Aurora; BlackBerry Mobile;429;1
LG Q61; LG Electronics;326;6
Samsung Galaxy A5 Duos; Samsung Electronics;200;7
Moto G (3rd generation); Motorola Mobility;206;2
Moto G (3rd generation); Motorola Mobility;206;3
Samsung Galaxy A5; Samsung Electronics;428;2
BlackBerry Aurora; BlackBerry Mobile;429;9
Samsung Galaxy S6 Edge+; Samsung Electronics;434;2
HTC Explorer; HTC;396;5
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;9
Xiaomi Black Shark 2 Pro; Xiaomi;346;6
HTC Salsa; HTC;257;1
Xiaomi Mi 9T Pro; Xiaomi;430;8
Moto X (2nd generation); Motorola Mobility;286;2
HTC Explorer; HTC;396;2
Xiaomi Mi 10/Pro; Xiaomi;366;6
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;2
Motorola Droid Turbo; Motorola Mobility;444;7
HTC Evo 4G LTE; HTC;477;4
OnePlus 8; OnePlus;283;5
HTC Evo 3D; HTC;248;6
ZTE Director; ZTE;432;5
OnePlus 8T; OnePlus;328;6
Pixel 3/XL; Google;272;6
HTC Desire VC; HTC;360;9
HTC Desire VC; HTC;360;7
Xiaomi Mi MIX 3 5G; Xiaomi;396;7
Samsung Galaxy S6 Edge+; Samsung Electronics;434;3
HTC Salsa; HTC;257;8
Pixel 3a/XL; Google;365;4
HTC One X/XL; HTC;352;2
BlackBerry KeyOne; BlackBerry Mobile;346;7
OnePlus 7T; OnePlus;341;2
Samsung Galaxy Xcover 3; Samsung Electronics;473;7
HTC Droid Incredible 4G LTE; HTC;290;6
HTC Salsa; HTC;257;6
HTC Sensation XE; HTC;481;9
Xiaomi Mi 9T; Xiaomi;388;3
HTC Rhyme; HTC;201;6
HTC Desire C; HTC;199;2
HTC Desire V; HTC;359;2
Xiaomi Black Shark 2; Xiaomi;258;9
HTC Desire VC; HTC;360;2
Xiaomi Mi 9 Lite; Xiaomi;417;2
ZTE Blade G V880G; ZTE;274;1
BlackBerry Motion; BlackBerry Mobile;383;6
HTC Sensation XE; HTC;481;6
Moto E (1st generation); Motorola Mobility;353;5
HTC Salsa; HTC;257;8
Samsung Galaxy S6/Edge; Samsung Electronics;274;9
Moto G (3rd generation); Motorola Mobility;206;9
LG Stylo 6; LG Electronics;397;5
OnePlus 8T; OnePlus;328;8
Samsung Galaxy A9 (2016); Samsung Electronics;300;1
Xiaomi Mi 9 Lite; Xiaomi;417;9
OnePlus 9 Pro; OnePlus;483;6
Samsung Galaxy A9 (2016); Samsung Electronics;300;5
Pixel 2/XL; Google;347;2
Xiaomi Mi 9/SE; Xiaomi;471;7
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;7
Xiaomi Mi Note 10/Pro; Xiaomi;234;8
BlackBerry KeyOne; BlackBerry Mobile;346;1
Oppo Find; Oppo;334;4
HTC Desire VC; HTC;360;1
Pixel 3a/XL; Google;365;1
LG K42/K71; LG Electronics;416;6
HTC Explorer; HTC;396;2
OnePlus 7T; OnePlus;341;5
LG Stylo 6; LG Electronics;397;7
OnePlus 8; OnePlus;283;8
HTC Desire VC; HTC;360;3
Xiaomi Mi 10/Pro; Xiaomi;366;7
ZTE Blade Q/Maxi/Mini; ZTE;374;2
Pixel 3a/XL; Google;365;1
ZTE Blade Q/Maxi/Mini; ZTE;374;5
ZTE Blade G/Lux; ZTE;400;5
ZTE Blade Vec 3G/4G; ZTE;447;6
HTC Desire VC; HTC;360;1
HTC Evo Design 4G; HTC;491;2
Pixel 3a/XL; Google;365;9
Samsung Galaxy Note 5; Samsung Electronics;254;7
Pixel 4a; Google;289;5
Pixel 4a (5G); Google;469;1
ZTE Blade G V880G; ZTE;274;2
Samsung Galaxy Xcover 3; Samsung Electronics;473;4
HTC One S C2; HTC;462;8
HTC Rhyme; HTC;201;7
ZTE Director; ZTE;432;3
Xiaomi Mi Note 10/Pro; Xiaomi;234;2
Moto G (2nd generation); Motorola Mobility;206;2
Samsung Galaxy A9 (2016); Samsung Electronics;300;1
Pixel 4a (5G); Google;469;1
Moto G (2nd generation); Motorola Mobility;206;9
LG K31; LG Electronics;270;7
HTC One X/XL; HTC;352;8
Pixel 4a (5G); Google;469;7
LG Stylo 6; LG Electronics;397;8
HTC Evo 3D; HTC;248;2
ZTE Blade G V880G; ZTE;274;4
Moto X (2nd generation); Motorola Mobility;286;3
OnePlus 8T; OnePlus;328;3
Samsung Galaxy A8/Duos; Samsung Electronics;402;2
HTC Evo 3D; HTC;248;1
BlackBerry Aurora; BlackBerry Mobile;429;3
Moto G (2nd generation); Motorola Mobility;206;3
OnePlus 7T Pro; OnePlus;329;2
HTC Rhyme; HTC;201;3
OnePlus Nord; OnePlus;425;7
Xiaomi Black Shark 2 Pro; Xiaomi;346;5
Pixel 4a; Google;289;7
